model_key,brand,model,title,price,reference_price,type,placement,capacity,voltage,amperage,plug,emf,spectrum,red_light,ir_wattage,heater,heater_kw,max_temp,exterior_dimensions,interior_dimensions,wood,weight,warranty,inhouse_url
sl-modele8g,SaunaLife,SL-MODELE8G,SaunaLife Model E8G Outdoor Barrel Sauna with Glass Front,7940.0,8734.0,Traditional,Outdoor,6,,,,,,,,,,,,,Thermo-Spruce / Thermo-Aspen,,Limited lifetime warranty,https://inhousewellness.com/products/saunalife-e8g
sl-modelee6g,SaunaLife,SL-MODELEE6G,SaunaLife Ergo Elegance Outdoor Sauna Barrel with Full Glass Front – Seats 4,6940.0,7634.0,Traditional,Outdoor,,,,,,,,,,,,,,Thermo-Spruce / Thermo-Aspen,,,https://inhousewellness.com/products/saunalife-ee6g
sl-modelee8g,SaunaLife,SL-MODELEE8G,"SaunaLife Ergo Elegance Series | Glass Front | 79""L x 91""D | 6-Person Outdoor Sauna",8140.0,8954.0,Traditional,Outdoor,6,,,,,,,,,,,,,Thermo-Aspen,,,https://inhousewellness.com/products/saunalife-ee8g
sl-modelg11,SaunaLife,SL-MODELG11,SaunaLife Model G11 Garden-Series Outdoor Home Sauna – 2-Room Layout for Up to 8 People,16980.0,18678.0,Traditional,Outdoor,8,,,,,Full Spectrum,,,,,,,,Thermo-Spruce / Thermo-Aspen,,,https://inhousewellness.com/products/saunalife-g11
sl-modelg3,SaunaLife,SL-MODELG3,SaunaLife Model G3 Outdoor Home Sauna Kit,7940.0,9528.0,Traditional,Outdoor,,,,,,,,,,,,,,Thermo-Spruce / Thermo-Aspen,,,https://inhousewellness.com/products/saunalife-g3
sl-modelg6-l-1,SaunaLife,SL-MODELG6-L-1,SaunaLife Model G6 Pre-Assembled Outdoor Home Sauna – 5 Person,26890.0,29579.0,Traditional,Outdoor,5,,,,,,,,,,,,,Spruce,,,https://inhousewellness.com/products/saunalife-g6
bs64-t,Scandia,BS64-T,Scandia Electric Barrel Sauna Kit – Traditional Sauna,9450.0,12285.0,Traditional,Outdoor,6,,,,,,,,Scandia Electric Barrel Sauna Kit – Traditional Sauna,,,,,Cedar,,,https://inhousewellness.com/products/scandia-electric-barrel-sauna-kit-6x4x6
bs65-t,Scandia,BS65-T,Scandia Electric Barrel Sauna Kit – 4-Person Traditional Sauna for Home,10800.0,14040.0,Hybrid,Outdoor,4,,,,,Full Spectrum,,,Scandia Electric Barrel Sauna Kit – 4-Person Traditional Sauna for Home,,,,,Cedar,,,https://inhousewellness.com/products/scandia-electric-barrel-sauna-kit
bs66-t,Scandia,BS66-T,Scandia Electric Barrel Sauna Kit – 4-Person Traditional Sauna for Home,12100.0,15730.0,Traditional,Outdoor,4,,,,,,,,Scandia Electric Barrel Sauna Kit – 4-Person Traditional Sauna for Home,,,,,Cedar,,,https://inhousewellness.com/products/scandia-electric-barrel-sauna-kit-4-person
bs67-t,Scandia,BS67-T,Scandia 4-Person Barrel Sauna Kit – Traditional Electric Sauna for Home Wellness & Relaxation,12900.0,16770.0,Traditional,Outdoor,4,,,,,,,,Scandia 4-Person Barrel Sauna Kit – Traditional Electric Sauna for Home Wellness & Rela,,,,,Cedar,,,https://inhousewellness.com/products/scandia-4-person-barrel-sauna-kit
bs68-t,Scandia,BS68-T,Scandia Barrel Sauna – 4-Person Traditional Sauna for Home Relaxation & Wellness,13500.0,17550.0,Traditional,Outdoor,4,,,,,Full Spectrum,,,Scandia Barrel Sauna – 4-Person Traditional Sauna for Home Relaxation & Wellness,,,,,Cedar,,,https://inhousewellness.com/products/scandia-barrel-sauna-4-person
precut-diy-3x4-ultra,Scandia,PRECUT-DIY-3X4-ULTRA,Scandia Electric DIY PreCut Sauna Room Kit PRECUT-DIY-3X4-ULTRA,9500.0,12350.0,Traditional,Indoor,3,,,,,,,,Scandia Electric DIY PreCut Sauna Room Kit PRECUT-DIY-3X4-ULTRA,,,,,Cedar,,,https://inhousewellness.com/products/pre-cut-hand-finished-sauna-kit-1-3-person
precut-diy-4x7-ultra,Scandia,PRECUT-DIY-4X7-ULTRA,Scandia Electric DIY PreCut Sauna Room Kit PRECUT-DIY-4X7-ULTRA,10080.0,13104.0,Traditional,Indoor,8,,,,,,,,Scandia Electric DIY PreCut Sauna Room Kit PRECUT-DIY-4X7-ULTRA,,,,,Cedar,,,https://inhousewellness.com/products/hand-finished-precut-sauna-kit
precut-diy-8x9-ultra,Scandia,PRECUT-DIY-8X9-ULTRA,Scandia Electric DIY PreCut Sauna Room Kit PRECUT-DIY-8X9-ULTRA,13800.0,17940.0,Traditional,Indoor,,,,,,,,,Scandia Electric DIY PreCut Sauna Room Kit PRECUT-DIY-8X9-ULTRA,,,,,Cedar,,,https://inhousewellness.com/products/hand-finished-sauna-kit-8-plus-people
