model_key,brand,model,title,price,reference_price,type,placement,capacity,voltage,amperage,plug,emf,spectrum,red_light,ir_wattage,heater,heater_kw,max_temp,exterior_dimensions,interior_dimensions,wood,weight,warranty,inhouse_url
gdi-8040-03,Golden Designs Inc,GDI-8040-03,Golden Designs 4-Person Full Spectrum Near Zero EMF FAR Infrared Sauna with Himalayan Salt – Canadian Hemlock,5499.0,7999.0,Infrared,Outdoor,4,120V,20A,,Near Zero,Full Spectrum,True,,,,,,,Canadian Hemlock,,,https://inhousewellness.com/products/golden-designs-full-spectrum-sauna
gdi-8123-01,Golden Designs Inc,GDI-8123-01,Golden Designs Carinthia GDI-8123-01 Outdoor Hybrid Sauna with 8.0 kW Stove (3 Person),6999.0,8999.0,Hybrid,Outdoor,3,,,,Near Zero,Full Spectrum,True,,,8.0 kW,Up to 190°F,,,Canadian Hemlock,,,https://inhousewellness.com/products/goldendesigns-carinthia-hybrid-outdoor-sauna
gdi-8125-01,Golden Designs Inc,GDI-8125-01,Golden Designs Gargellen GDI-8125-01 5-Person Hybrid Outdoor Sauna 8.0 kW,7999.0,9999.0,Hybrid,Outdoor,5,240V,40A,,Near Zero,Full Spectrum,True,,,8.0 kW,Up to 190°F,,,Canadian Hemlock,,,https://inhousewellness.com/products/goldendesigns-gargellen-hybrid-outdoor-sauna
gdi-8202-01,Golden Designs Inc,GDI-8202-01,Golden Designs Narvik 2-Person Indoor/Outdoor Traditional Sauna,11999.0,14999.0,Traditional,Outdoor,2,120V/240V,30A,,,,True,,Narvik 2-Person Indoor/Outdoor Traditional Sauna,6.0 kW,Up to 190°F,,,Cedar,,,https://inhousewellness.com/products/golden-designs-narvick
gdi-8203-01,Golden Designs Inc,GDI-8203-01,Golden Designs Drammen 3-Person Outdoor Traditional Sauna - Canadian Red Cedar Interior,13999.0,16999.0,Traditional,Outdoor,3,120V/240V,40A,,,,,,,8.0 kW,Up to 190°F,,,Cedar,,,https://inhousewellness.com/products/golden-designs-drammen
gdi-8206-01,Golden Designs Inc,GDI-8206-01,Golden Designs Bergen 6-Person Outdoor-Indoor Traditional Sauna,15999.0,18999.0,Traditional,Outdoor,6,120V/240V,40A,,,,,,"Harvia Sauna Stove', 'indoor sauna', 'Outdoor Sauna']",8 kW,,,,Cedar,,,https://inhousewellness.com/products/golden-designs-6-person-traditional-sauna
gdi-8222-01,Golden Designs Inc,GDI-8222-01,Golden Designs Nora 2-Person Outdoor Hybrid Sauna – Premium Canadian Hemlock Wood Construction with Carbon Heating Panels,14999.0,18999.0,Hybrid,Outdoor,2,,,,Low,Infrared,,,,,,,,Canadian Hemlock,,,https://inhousewellness.com/products/golden-designs-nora-hybrid
gdi-8223-01,Golden Designs Inc,GDI-8223-01,Golden Designs Visby 3 Person Outdoor-Indoor PureTech™ Hybrid Full Spectrum Sauna,16999.0,22999.0,Hybrid,Outdoor,3,,,,,Full Spectrum,,,,,,,,Cedar,,,https://inhousewellness.com/products/goldendesigns-visby-3-person-sauna
gdi-8230-01,Golden Designs Inc,GDI-8230-01,Golden Designs GDI-8230-01 Full Spectrum Himalayan Salt Bar 3 Person Sauna,5499.0,7999.0,Infrared,Indoor,3,120V,15A,,Near Zero,Full Spectrum,True,,,,Up to 140°F,,,Canadian Hemlock,,,https://inhousewellness.com/products/golden-designs-gdi-8230
gdi-8260-01,Golden Designs Inc,GDI-8260-01,Golden Designs GDI-8260-01 Full Spectrum Near Zero EMF 6-Person Sauna,7499.0,9999.0,Infrared,Outdoor,6,120V,15A,,Near Zero,Full Spectrum,True,,,,Up to 140°F,,,Canadian Hemlock,,,https://inhousewellness.com/products/gdi-8260-full-spectrum
gdi-8330-01,Golden Designs Inc,GDI-8330-01,Golden Designs Soria 3-Person Hybrid Sauna – Full Spectrum Infrared & Harvia Stove,7999.0,9999.0,Hybrid,Indoor,3,120V/240V,20A,,Near Zero,Full Spectrum,,,Harvia Stove,,,,,Canadian Hemlock,,,https://inhousewellness.com/products/golden-designs-soria-hybrid-sauna
gdi-8360-01,Golden Designs Inc,GDI-8360-01,Golden Designs Toledo Per Hybrid Sauna (Indoor). Full Spectrum and Harvia Traditional Stove,9999.0,12999.0,Hybrid,Indoor,6,,,,,Full Spectrum,,,Harvia Traditional Stove,8 kW,,,,Canadian Hemlock,,,https://inhousewellness.com/products/golden-designs-toledo
gdi-8506-01,Golden Designs Inc,GDI-8506-01,Golden Designs Kaarina GDI-8506-01 6 Person Outdoor Traditional Sauna – Canadian Red Cedar,15999.0,18999.0,Traditional,Outdoor,6,120V/240V,,,,,,,Harvia electric stove (8,8.0 kW,Up to 190°F,,,Canadian Hemlock / Cedar,,,https://inhousewellness.com/products/kaarina-6-person-sauna
gdi-8526-01,Golden Designs Inc,GDI-8526-01,Golden Designs Kaskinen 6-Person Hybrid Outdoor Sauna – Canadian Red Cedar Interior,18999.0,22999.0,Hybrid,Outdoor,6,,,,,Full Spectrum,,,Harvia stove and PureTech™ Full Spectrum infrared heating technology,8.0 kW,Up to 190°F,,,Cedar,,,https://inhousewellness.com/products/kaskinen-6-sauna
gdi-b002-01,Golden Designs Inc,GDI-B002-01,Golden Designs GDI-B002-01 St. Moritz 2 Person Barrel Traditional Sauna 6.0 kW,4999.0,6999.0,Hybrid,Outdoor,2,120V/240V,30A,,,Infrared,,,Harvia “WALL” stove,6.0 kW,Up to 190°F,,,Pacific Cedar,,,https://inhousewellness.com/products/golden-designs-st-moritz-barrel-sauna
gdi-b004-01,Golden Designs Inc,GDI-B004-01,"Golden Designs ""Arosa"" 4 Person Barrel Traditional Sauna",5999.0,7999.0,Traditional,Outdoor,4,120V/240V,30A,,Near Zero,Full Spectrum,True,,Harvia 6KW stove,6 kW,Up to 190°F,"84"" x 73"" x 84""","78"" x 65"" x 78""",Pacific Cedar,477 lbs,,https://inhousewellness.com/products/arosa-4p-barrel-sauna
kohler-c1-k-38440,Kohler,kohler-c1-k-38440,"Kohler C1 K-38440-0FNC-SPS Two-Person Indoor Sauna, Scandinavian Spruce",17866.67,,Traditional,Indoor,,240V,,,,,,,,4.5 kW,,,,Spruce,,5-year limited warranty,https://inhousewellness.com/products/kohler-c1-k-38440
kohler-c1-k-39963-0fnc,Kohler,kohler-c1-k-39963-0fnc,"Kohler C1 Two-Person Indoor Sauna, Graphite Grey",18666.67,,Traditional,Indoor,,240V,30A,NEMA6-30P,,,,,,4.5 kW,,,,Spruce,,5-year limited warranty,https://inhousewellness.com/products/kohler-c1-k-39963-0fnc
mw12,Mande Spa,MW12,MW12 ThermoWood® Outdoor Sauna – 2–3 Person,5939.0,6599.0,Traditional,Outdoor,3,,,,,,,,,,,,,,,,https://inhousewellness.com/products/mw12-thermowood-r-outdoor-sauna-2-3-person
